"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Detachment","=~","Mood_Up_Down",99.2236620132842,0.0633964359037668,0.0596169347228318,-0.126920214962922,-0.126920214962922,-0.126920214962922
"Disinhibited_Externalizing","=~","No_Warm_Relationship",98.1825893051058,0.0261207026801835,0.0254557798239109,-0.0980507876972004,-0.0980507876972004,-0.0980507876972004
"Somaticizing","=~","Angry_Freq",97.5334928849455,0.0312715418388923,0.030323285934111,0.161528192141289,0.161528192141289,0.161528192141289
"Nervous_Freq_30_Day","~~","Upset_Think_Day",97.4037970189362,0.0160928093391747,0.0158379325109493,-0.113908847744304,-0.113908847744304,-0.255447784534188
"Everything_Effort","~~","Angry_Freq",93.5450173109149,0.020734012681262,0.0203128458772505,0.106976416519288,0.106976416519288,0.270930046759808
"Anatagonistic","=~","Worry_Frequency",92.3555669432408,0.075064386561737,0.0698231543152567,-0.126936118634807,-0.126936118634807,-0.126936118634807
"Lonely_Frequency","~~","Angry_Freq",92.3045245895216,0.0159192626668279,0.0156698108322498,0.11351086014199,0.11351086014199,0.28783275479512
"Disinhibited_Externalizing","=~","Activities_Trivial",91.2937504949011,0.021504402867047,0.0210516986580682,0.0881649155389705,0.0881649155389705,0.0881649155389705
"People_Mean","~~","No_Warm_Relationship",91.2926556301986,0.0131304660211109,0.0129602913558394,-0.121106158765351,-0.121106158765351,-0.224168058824965
"Activities_Trivial","~~","Actively_Carry_Plans",90.9352360442907,0.00996953537877049,0.0098711248503467,0.0910440474641326,0.0910440474641326,0.188384809259613
"Somaticizing","=~","Everything_Effort",89.9042941858649,0.0262077178493607,0.0255384142932433,-0.151916224343277,-0.151916224343277,-0.151916224343277
"Actively_Carry_Plans","~~","Will",89.7388305265747,0.012913177273866,0.012748552949642,0.10780224241311,0.10780224241311,0.208604872309584
"Plan_Future","~~","Change_For_Better",88.977602645042,0.0133778748316559,0.0132012698953766,0.123034674316233,0.123034674316233,0.245304630929257
"Nervous_Freq_30_Day","~~","Angry_Freq",88.5220546323459,0.00975999269178262,0.0096656559602493,0.102843456833913,0.102843456833913,0.254988942201523
"Somaticizing","=~","Gave_Up",87.3913581063449,0.0244729633074057,0.0238883447235125,0.0914935134093132,0.0914935134093132,0.0914935134093132
"Internalizing","=~","Minor_Setback_Irritate",87.3614291239195,0.0582084842675599,0.0550066316164994,-0.104216779298242,-0.104216779298242,-0.104216779298242
"Disinhibited_Externalizing","=~","Falling_Asleep",85.4489993752442,0.0436750641696451,0.0418473772815424,0.0725473042803966,0.0725473042803966,0.0725473042803966
"Somaticizing","=~","Angry_Ready_Hit",85.1881984557271,0.0759606184153845,0.0705979541586337,0.121488641920146,0.121488641920146,0.121488641920146
"Others_More_Life","~~","No_Good_Sense",84.2144602245463,0.0250640326933085,0.0244511873345647,-0.069694929336734,-0.069694929336734,-0.1801380731504
"Upset_Freq_30_Day","~~","Gave_Up",82.6727662263506,0.00931634272611083,0.00923034962551767,0.114437370139595,0.114437370139595,0.284392383828295
"Restless_Freq_30_Day","~~","Angry_Freq",82.0729268295992,0.0114229521121348,0.0112939419540366,0.099891599041439,0.099891599041439,0.246314237995953
"Worthless_Freq","~~","Difficult_Arrange",81.6074097520201,0.0185818305704047,0.0182428451133856,-0.110819563008345,-0.110819563008345,-0.415481926543791
"People_Mean","~~","Mood_Up_Down",79.993828175881,0.0118692073002366,0.0117299817156258,0.12019345095844,0.12019345095844,0.263602909361766
"Gave_Up","~~","Know_Want_Life",79.7643532489658,0.0160734462687247,0.015819177568069,0.0983779071742716,0.0983779071742716,0.222814651259163
"Disinhibited_Externalizing","=~","Frustrated_Freq_30_Day",79.2974953698671,0.0409444557005248,0.0393339485851533,-0.0599711001589407,-0.0599711001589407,-0.0599711001589407
"Internalizing","=~","Disapoint_Acheivment",78.2680977360562,0.05664066662987,0.0536044735156031,-0.0713678394375869,-0.0713678394375869,-0.0713678394375869
"Difficult_Arrange","~~","Actively_Carry_Plans",77.8771901223102,0.0109951916927943,0.0108756122513146,0.0798949718529286,0.0798949718529286,0.198350503344219
"Somaticizing","=~","No_Good_Sense",77.4852026605292,0.02924901190728,0.0284178187871944,0.0856327332708083,0.0856327332708083,0.0856327332708083
"Frustrated_Freq_30_Day","~~","Hopeless_Freq",77.2033126965407,0.0254453171806905,0.0248139191377349,0.0945675672730464,0.0945675672730464,0.375048543479899
"Difficult_Arrange","~~","Few_Close_Friends",76.7247517927075,0.00460893718087742,0.00458779233421013,0.0817438145572326,0.0817438145572326,0.202834663255531
"Upset_Think_Day","~~","Mood_Up_Down",75.852437752303,0.00944489501495013,0.00935652363154528,0.0946585312315938,0.0946585312315938,0.241213007969337
"Worthless_Freq","~~","Self_Attitude",75.3709622790291,0.0351743281376586,0.0339791348969591,-0.112222664038452,-0.112222664038452,-0.384771432922677
"Actively_Carry_Plans","~~","Dont_Give_Up",74.1047949103054,0.0162978327318768,0.0160364729776774,0.0961583492762891,0.0961583492762891,0.185632972883438
"Worry_Frequency","~~","Upset_Think_Day",73.3762484227497,0.0214022951178204,0.020953834958195,-0.116140860524386,-0.116140860524386,-0.213270828862663
"No_Warm_Relationship","~~","Dont_Give_Up",73.1855839274364,0.0119563325986469,0.0118150677193192,-0.113082729132021,-0.113082729132021,-0.201366004809163
"Lonely_Frequency","~~","Maintaining_Relationships_Hard",72.6755839927689,0.0153430358133072,0.0151111843703317,-0.103903331108306,-0.103903331108306,-0.214078157126347
"Detachment","=~","When_Insult_Get_Even",72.1343000206109,0.0543284548940397,0.0515289657998463,0.105341812266188,0.105341812266188,0.105341812266188
"Actively_Carry_Plans","~~","Plan_Future",72.1072722054754,0.0183062276661941,0.0179771341555568,0.0913289138329929,0.0913289138329929,0.191134227923655
"People_Mean","~~","Upset_Think_Day",72.096595972355,0.0114751912286204,0.0113450051253177,0.115954368714831,0.115954368714831,0.22808986587891
"Difficult_Arrange","~~","Maintaining_Relationships_Hard",71.9729287274061,0.00995118447828484,0.0098531341229382,0.0837891211775363,0.0837891211775363,0.183177281772456
"Afraid_Freq_30_Day","~~","Lonely_Frequency",71.1701080303262,0.0240122651641296,0.0234491968319158,-0.094514384981696,-0.094514384981696,-0.222806518493228
"Disinhibited_Externalizing","=~","Angry_Ready_Hit",70.784222591998,0.0610516914251737,0.0575388474647931,-0.078274832202646,-0.078274832202646,-0.078274832202646
"Enjoy_Hurting_Say_Mean","~~","Weigh_Possibilities",70.6202327312373,0.0144994583927745,0.0142922288157209,0.152596899612235,0.152596899612235,0.214415451858353
"Somaticizing","=~","High_Standards",70.4115233294518,0.100595621661066,0.0914010738196853,-0.0713615035441786,-0.0713615035441786,-0.0713615035441786
"Anatagonistic","=~","Maintaining_Relationships_Hard",70.056050780046,0.0415643800837546,0.0399057234276889,-0.101335807230474,-0.101335807230474,-0.101335807230474
